B4,B3,B2,B5,B8,type
2105,2037.5,2107.5,2329,3092.5,1
2644,2263,2253,2806,3414,1
3.61,2026.5,2072.5,2459.5,3200,1
2215.5,1994.5,2046,2405,3090.5,1
2095,1972,2005.5,2361.5,3289.5,1
2222.5,2054,2091.5,2457.5,3229,1
2017,1902,1996,2231,3061,1
3.75,1887,1967,2211,2996,1
2073,1955.5,2031.5,2271,2931.5,1
2551.5,2296,2287.5,2783,3624.5,1
2388,2151.5,2191.5,2587,3157.5,1
2144,1972.5,2031.5,2402.5,3176.5,1
2297.5,2102.5,2118,2551.5,3391,1
20.03,2085,2148,2387,3151,1
2299,2102.5,2138,2522,3167,1
2260,2135.5,2167.5,2492.5,3394,1
26.85,1957.14285714286,2023,2310.2,2934,1
2498.5,2216.5,2232,2701,3362,1
2.97,2319.5,2306.5,2858.5,3487.5,1
2599,2255,2208.5,2851.5,3630,1
2507,2239.5,2233.5,2761.5,3536.5,1
2626.5,2302.5,2274.5,2858.5,3598.5,1
2721,2323,2278,2906,3556.5,1
4.035,2252,2234,2766.5,3413.5,2
2609,2279,2265,2813,3424,2
2470.5,2203,2205,2713,3389,1
2584,2274.5,2290,2814,3631.5,1
2468.5,2161.5,2183,2686,3370,1
2449,2177.5,2189,2653.5,3269.5,1
2405,2175.5,2205,2594.5,3268.5,1
0.1075,2264.5,2230,2888.5,3587,1
2788,2369.5,2294,2999.5,3589,1
2191,1994,2025,2421,3228,1
2842,2395.5,2362.5,3076,3713.5,1
6.38,2366.5,2327.5,2929.5,3572,1
1983,1959.5,2022,2271,3177.5,1
2352,2155,2209,2590,3194,1
2570,2285.5,2272.5,2803,3619,1
2220.5,2070,2117.5,2442.5,3163,2
2742,2366.5,2339,2956,3662,1
2602,2290.5,2275,2838.5,3511.5,1
2758,2367.5,2316.5,2976,3671,1
2678.5,2286,2248.5,2913.5,3641.5,1
2675.5,2332.5,2297.5,2890.5,3464,1
2551.5,2235.5,2224,2773.5,3424,1
2124.5,1947.5,1983.5,2396,3204.5,1
7.9525,2177,2193,2674,3415.5,1
11.5225,2046.5,2113,2397,3070,1
2370.5,2152,2148.5,2597,3358,2
2178,2053.5,2124.5,2431,3242,1
2676,2367.5,2363.5,2883.5,3584,1
2847,2479.5,2429,3054,3683,1
2276.5,2086.5,2139,2482,3142,1
2473,2166,2166,2701,3516,1
2482,2225,2245.5,2723.5,3495,1
2394,2185,2211,2614,3277,1
2676,2324.5,2298.5,2896.5,3669,1
2406,2142,2134,2649,3361,1
2162,1927.25,1960.14285714286,2360.16666666667,2886.71428571429,1
2232.5,2073.5,2097,2547,3551.5,1
2083,1965,2028,2265,2848,1
2343.5,2160.5,2197,2553,3371,1
2557.5,2258.5,2236.5,2815,3575.5,1
2103.5,2014,2047,2418,3289,1
25.915,2088,2136.5,2519,3172.5,1
7.83,2307.5,2277,2933,3615,1
2539,2198.5,2201,2709,3293,1
2361.5,2166.5,2197,2649.5,3493.5,1
2257,2065,2096,2446,3269,1
2481.5,2185,2187,2653,3279.5,2
1991,1935,1989,2282,3234,1
2431,2142,2130,2662,3555,1
2924,2534.5,2449,3134,3776,1
2894.5,2489,2387.5,3122.5,3878.5,2
2108,2061,2086,2357.5,3210,2
1903,1899.5,1987.5,2158.5,3043,2
1845,1832,1919,2095,2986,1
2633.5,2301.5,2259,2880.5,3734,1
2647,2248.5,2181,2934.5,3853,1
2458,2212.5,2205.5,2686,3465,1
2567.5,2261.5,2261,2768,3466.5,1
2479.5,2216.5,2205,2688.5,3409,1
2949.5,2536.5,2474,3161.5,3852,1
2552,2289,2312.5,2779,3447,1
2411,2177,2211.5,2617.5,3353,1
2568,2314.5,2323,2760,3491.5,1
33.775,2194.5,2230.5,2703,3338.5,1
19.35,2272.5,2250,2827,3549,1
2819,2420,2358,3018.5,3754.5,1
2454.5,2260,2274.5,2760.5,3567,1
2727,2365.5,2326,2923.5,3642,1
2754,2363,2302,2971.5,3514.5,1
2832,2394,2337,3061.5,3639.5,1
2321,2107,2168,2528,3281,1
2318,2075,2139,2510,3127,1
2501,2220,2215.5,2722.5,3390,1
2407,2142,2158.5,2636,3250,1
27.275,2248,2238.5,2732,3399.5,1
2474.5,2201.5,2228,2712,3431,1
2362.5,2157.5,2169,2591.5,3410,1
2134,2050,2090,2445.5,3333.5,1
2256,2094.5,2121,2503,3271.5,1
2542.5,2238.5,2232,2755,3497.5,1
17.74,2409,2353.5,2986,3670,1
2684,2333,2281,2924,3714,1
2371,2098,2085,2635,3289,1
2447,2197,2209,2630,3228,1
2310,1961,1964,2520,3320,1
2617.5,2270.5,2227,2860.5,3742.5,1
2046,1933.5,2009,2283.5,3044.5,1
2303,2071,2099,2551.5,3160,1
2521.5,2210.5,2209.5,2757.5,3508,1
1944.5,1890.5,1964.5,2216,3058,1
14.13,1977.5,2025,2451.5,3053.5,1
2189,2002,2061.5,2413,2958.5,1
2276,1995.5,2021.5,2452.5,3024.5,1
2271,2067,2093,2542,3486.5,1
2421,2134,2113,2673,3312,1
2126,2027,2072,2389,3164,1
3019,2537,2441,3284,4042,1
26.3,2210,2204,2874,3643,1
2655,2275,2239,2907,3638,1
2146.5,2041.5,2042.5,2440.5,3326,1
2389,2134,2126,2700.5,3546.5,1
2453.5,2177.5,2165,2685.5,3453,1
20.6,2194.5,2172.5,2825.5,3721.5,1
2119,1924,1984,2338,2909,1
2315,2104,2102,2561,3163,1
14.93,2141.5,2133.5,2699.5,3647.5,1
2504,2207,2215.5,2765.5,3388.5,1
8.8225,2071,2041,2645.5,3280,1
2103,1929,1973.5,2341,2986.5,1
2230.5,1934.5,1973,2461.5,2965.5,1
15.22,2083.5,2089,2549.5,3236,1
2362.5,2128.5,2165,2604.5,3389.5,1
2209,1990,2059,2401,3074,2
2806,2378,2316,3053,3671,1
8.405,2265,2246,2841,3474,1
31.47,2428,2362,3136,3867,1
2517.5,2230.5,2214,2830.5,3727.5,1
2073.5,1943.5,2014,2315,3009,1
21.71,2302,2303,2851,3589,1
2576.5,2218.5,2188,2896.5,3903,1
22.525,2150.5,2173.5,2587.5,3404.5,1
2055,1988.5,2025,2363,3253.5,1
21.46,2000,2038.5,2421.5,3225,1
2230,2040,2076,2458,3105,1
2238.5,2021,2055.5,2447,3020,1
26.66,1966.71428571429,2032.64705882353,2383.81818181818,2993.8,1
1880.625,1815.3,1928.7,2088.44444444444,2678.33333333333,1
2150.16666666667,1958.46153846154,2009.3,2345,2861.85714285714,1
2227,2069,2145,2453,3104,1
2001.5,1906,2028.13333333333,2159.11111111111,2527.5,1
2327.5,2129,2147,2563.375,3305.75,1
2235,2058.5,2103,2459,3182.5,1
17.2,2029.5,2090,2437,3215.5,1
1982.5,1915.5,1990,2290,3213.5,1
2487,2244.5,2278.5,2685,3400,1
2245.5,2115.5,2116.5,2580,3824.5,1
2694,2277,2228.5,3068,3992.5,1
2136.5,1958.75,2013.0625,2361.75,3034.5,1
2827.5,2392,2318,3034,3690,2
2208.5,2058,2127.5,2417,3069,1
2022.83333333333,1929.25,2006.625,2233.5,2881.25,1
1965.6,1904.125,1968.21428571429,2193.18181818182,2898.5,1
2260,2027,2059.6,2448.75,3081,1
1870,1859,1930,2168,2913,1
2023,1928,1971,2346,3125,1
2269,2104,2146,2501,3321,1
7.1225,2070,2113,2447,3192.5,1
1629,1775,1881,1916,2810,1
2166,2029.5,2069,2469,3387.5,1
2378.5,2156.5,2157.5,2586.5,3408,1
33.85,2096,2112,2515.5,3554.5,1
2834,2491,2453.5,3058,3731,1
2224,2065.5,2088,2499.5,3149,1
2269,2071,2096,2473,3153,1
2548,2281,2294,2730,3482,1
2189,2029.5,2048.5,2496.5,3330.5,1
2302.5,2107.5,2146.5,2517,3170,1
2665.5,2378,2359.5,2910,3763.5,1
2412,2181,2184,2679.5,3444.5,1
2562.5,2274,2285.5,2786.5,3527.5,1
2670.5,2388.5,2353.5,2923.5,3739.5,1
2446.5,2153,2126,2748.5,3587.5,1
10.475,2355,2297,3010,3750,1
20.78,1851,1943.5,2147,2923.5,1
2072,2014,2092,2300,2896,1
2216,2006,2078,2415,2924,1
2754,2367,2315.5,2901.5,3409.5,2
2108.5,1980,2043,2327.5,3084.5,1
6.7275,2091,2068.5,2605,3373.5,1
2256.5,1998,1999.5,2523.5,3195,1
2566,2245,2199,2790,3491,1
1912,1887,1955,2205,3080,1
6.3025,2086,2045.5,2645,3288.5,1
4.88,2039.5,2147,2306,2910,1
2672,2290,2231,2889,3584,1
2162,2084.5,2141.5,2369,3196.5,1
2506.5,2290.5,2266,2749.5,3550,1
3.415,2399.5,2325.5,3030.5,3707.5,1
2445,2337,2312,2739,3619,1
14.98,2098.5,2121,2532,3226,1
2242,2091.5,2155,2442,3130,1
2639.5,2315.5,2312.5,2812.5,3470,1
2441.5,2247.5,2274,2661,3506.5,1
1971,1938,2022,2242,2990,1
0.565,2123.5,2176,2481,3283,1
2761,2315.5,2241,2981,3535,1
2512.5,2278,2224.5,2787,3574.5,1
2594,2210,2164,2821,3705,1
2418,2240,2222,2635.5,3486,1
2660.5,2321.5,2289,2878.5,3566,1
2495,2154,2129.5,2656,3171,1
2669.5,2237.5,2209.5,2863.5,3386,1
7.2175,2418,2327,3103.5,3803,1
2610.5,2308.5,2261,2815.5,3459.5,1
2612,2279,2242,2835,3582.5,1
2193,2043,2064,2474,3360,1
2531,2251.5,2184.5,2822,3847.5,1
2514,2246.5,2257.5,2750.5,3539,1
2317,2108,2175,2499,3153,1
2468,2235.5,2221,2746,3480.5,1
