B4,B3,B2,B5,B8,yield
2105,2037.5,2107.5,2329,3092.5,1.196875
2644,2263,2253,2806,3414,1.064375
3.61,2026.5,2072.5,2459.5,3200,0.558125
2215.5,1994.5,2046,2405,3090.5,0.326875
2095,1972,2005.5,2361.5,3289.5,0.275625
2222.5,2054,2091.5,2457.5,3229,1.41125
2017,1902,1996,2231,3061,0.420625
3.75,1887,1967,2211,2996,0.44125
2073,1955.5,2031.5,2271,2931.5,1.90875
2551.5,2296,2287.5,2783,3624.5,5.67125
2388,2151.5,2191.5,2587,3157.5,2.539375
2144,1972.5,2031.5,2402.5,3176.5,3.4025
2297.5,2102.5,2118,2551.5,3391,2.485
20.03,2085,2148,2387,3151,3.63875
2299,2102.5,2138,2522,3167,5.90375
2260,2135.5,2167.5,2492.5,3394,0.04875
26.85,1957.14285714286,2023,2310.2,2934,4.8175
2498.5,2216.5,2232,2701,3362,0.05125
2.97,2319.5,2306.5,2858.5,3487.5,0.049375
2599,2255,2208.5,2851.5,3630,4.55
2507,2239.5,2233.5,2761.5,3536.5,4.715
2626.5,2302.5,2274.5,2858.5,3598.5,0.033125
2721,2323,2278,2906,3556.5,0.88625
4.035,2252,2234,2766.5,3413.5,0.666875
2609,2279,2265,2813,3424,0.7025
2470.5,2203,2205,2713,3389,4.28625
2584,2274.5,2290,2814,3631.5,2.435625
2468.5,2161.5,2183,2686,3370,0.028125
2449,2177.5,2189,2653.5,3269.5,0.1975
2405,2175.5,2205,2594.5,3268.5,0.065625
0.1075,2264.5,2230,2888.5,3587,0.0175
2788,2369.5,2294,2999.5,3589,8.30625
2191,1994,2025,2421,3228,8.49875
2842,2395.5,2362.5,3076,3713.5,5.38125
6.38,2366.5,2327.5,2929.5,3572,0.65375
1983,1959.5,2022,2271,3177.5,1.433125
2352,2155,2209,2590,3194,6.18375
2570,2285.5,2272.5,2803,3619,3.71375
2220.5,2070,2117.5,2442.5,3163,0.954375
2742,2366.5,2339,2956,3662,0.009375
2602,2290.5,2275,2838.5,3511.5,0.2675
2758,2367.5,2316.5,2976,3671,0.035
2678.5,2286,2248.5,2913.5,3641.5,0.041875
2675.5,2332.5,2297.5,2890.5,3464,1.8475
2551.5,2235.5,2224,2773.5,3424,0.015
2124.5,1947.5,1983.5,2396,3204.5,2.608125
7.9525,2177,2193,2674,3415.5,0.98875
11.5225,2046.5,2113,2397,3070,1.695625
2370.5,2152,2148.5,2597,3358,0.39875
2178,2053.5,2124.5,2431,3242,3.08125
2676,2367.5,2363.5,2883.5,3584,3.7125
2847,2479.5,2429,3054,3683,2.39
2276.5,2086.5,2139,2482,3142,1.485
2473,2166,2166,2701,3516,6.53
2482,2225,2245.5,2723.5,3495,4.4725
2394,2185,2211,2614,3277,3.1175
2676,2324.5,2298.5,2896.5,3669,8.21
2406,2142,2134,2649,3361,2.87875
2162,1927.25,1960.14285714286,2360.16666666667,2886.71428571429,4.915
2232.5,2073.5,2097,2547,3551.5,6.3625
2083,1965,2028,2265,2848,7.665
2343.5,2160.5,2197,2553,3371,3.65125
2557.5,2258.5,2236.5,2815,3575.5,5.22375
2103.5,2014,2047,2418,3289,3.58625
25.915,2088,2136.5,2519,3172.5,4.67875
7.83,2307.5,2277,2933,3615,1.388125
2539,2198.5,2201,2709,3293,2.518125
2361.5,2166.5,2197,2649.5,3493.5,4.13125
2257,2065,2096,2446,3269,1.296875
2481.5,2185,2187,2653,3279.5,0.625
1991,1935,1989,2282,3234,4.44375
2431,2142,2130,2662,3555,1.605
2924,2534.5,2449,3134,3776,0.295625
2894.5,2489,2387.5,3122.5,3878.5,1.01875
2108,2061,2086,2357.5,3210,2.475625
1903,1899.5,1987.5,2158.5,3043,1.075
1845,1832,1919,2095,2986,1.80375
2633.5,2301.5,2259,2880.5,3734,0.119375
2647,2248.5,2181,2934.5,3853,4.76375
2458,2212.5,2205.5,2686,3465,0.055625
2567.5,2261.5,2261,2768,3466.5,4.4525
2479.5,2216.5,2205,2688.5,3409,0.020625
2949.5,2536.5,2474,3161.5,3852,4.68625
2552,2289,2312.5,2779,3447,3.23375
2411,2177,2211.5,2617.5,3353,0.03625
2568,2314.5,2323,2760,3491.5,3.91375
33.775,2194.5,2230.5,2703,3338.5,4.56
19.35,2272.5,2250,2827,3549,3.7525
2819,2420,2358,3018.5,3754.5,1.698125
2454.5,2260,2274.5,2760.5,3567,3.25625
2727,2365.5,2326,2923.5,3642,1.6375
2754,2363,2302,2971.5,3514.5,4.16
2832,2394,2337,3061.5,3639.5,4.7625
2321,2107,2168,2528,3281,0.958125
2318,2075,2139,2510,3127,6.19
2501,2220,2215.5,2722.5,3390,2.645
2407,2142,2158.5,2636,3250,1.151875
27.275,2248,2238.5,2732,3399.5,4.83875
2474.5,2201.5,2228,2712,3431,3.24375
2362.5,2157.5,2169,2591.5,3410,1.92
2134,2050,2090,2445.5,3333.5,3.34
2256,2094.5,2121,2503,3271.5,5.1225
2542.5,2238.5,2232,2755,3497.5,4.52
17.74,2409,2353.5,2986,3670,4.01125
2684,2333,2281,2924,3714,12.1575
2371,2098,2085,2635,3289,5.14875
2447,2197,2209,2630,3228,2.55125
2310,1961,1964,2520,3320,3.36375
2617.5,2270.5,2227,2860.5,3742.5,4.045
2046,1933.5,2009,2283.5,3044.5,6.47375
2303,2071,2099,2551.5,3160,3.5175
2521.5,2210.5,2209.5,2757.5,3508,2.723125
1944.5,1890.5,1964.5,2216,3058,2.81
