B4,B3,B2,B5,B8,yield
2419.5,2187,2194.5,2655.5,3344,4
2.8275,2008.5,2075,2387.5,3039.5,4
2234,2039.5,2101.5,2486.5,3187.5,4
2081.5,1981.5,2054.5,2311,3076.5,4
2109,1964,2001,2325,3025,4
2493,2265.5,2283,2697.5,3351.5,4
2416,2191,2217,2639,3228.5,4
2429.5,2220,2273,2639.5,3414.5,4
2356,2154,2189.5,2555,3267.5,4
2584,2296,2295,2810.5,3597.5,4
2.415,2347.5,2334,2847,3578.5,4
7.4825,2252,2211.5,2803.5,3425,4
1950,1913,1998,2201,2725,4
3.575,2429,2415.5,2960,3549.5,4
3.73,2708.5,2629.5,3304.5,4027,4
1963,1872,1950,2186,2771,4
3.505,1848.33333333333,1945.75,2186,2652,4
2480.5,2270.5,2256,2699.5,3300.5,4
5.575,2138,2192.5,2534,3152.5,4
1910,1840.5,1911,2134,2932.5,4
4.24,1836.73611111111,1942.85714285714,2244,2556,4
4.375,2117.5,2165,2536.5,3169.5,4
2502.5,2273,2262.5,2769,3496,4
3.54,2355.5,2335,2870,3609.5,4
2592.5,2268,2252,2865,3665,4
1963,1872,1950,2186,2771,4
2489,2232.5,2254.5,2717,3386.5,4
2599,2407,2336.5,2919,3937.5,4
2043,1973,2009,2218,2868,4
4.435,2266.5,2269,2798,3576.5,4
2623,2322.5,2307,2880.5,3663,4
1874,1863,1988,2072,2466.5,4
5.575,2138,2192.5,2534,3152.5,4
13.66,1974,2018,2355,3122.5,4
2474.5,2226.5,2244.5,2691,3399,4
2165,2074,2122.5,2401,3260,4
2038,1971,2054.5,2251,2838,4
2659,2400.5,2357,2909.5,3706,4
1942.5,1889,1983,2169,2863,4
2416,2209,2221,2696,3553,4
2741.5,2425,2350.5,2974.5,3616.5,4
2549.5,2306.5,2306,2767,3409,4
2490,2187,2181,2706,3339,4
2808,2431,2377,3060,3887,4
2119.5,1976,2003,2338.5,3060.5,4
2390,2150.5,2184,2615,3274,4
1810,1828,1925,2003,2686,4
1980.5,1868,1937.5,2181.5,3006,4
2238,2094,2159.5,2469.5,3101,4
9.735,2000,2045,2388,3116,4
2254.5,2083.5,2134,2483.5,3368.5,4
5.1875,2143,2160.5,2545,3455,4
2119,1985,2026,2310,2990,4
2390,2199,2219.5,2627,3377.5,4
1886,1828,1918,2108,2688,4
3.9325,1831.5,1909.5,2143.5,2830,4
1844,1891,1954,2137,3081,4
2505.5,2257.5,2266,2729,3385,4
2212.5,2081.5,2112.5,2493,3336,4
1980,1905,1980,2173,2706,4
5.255,2353.5,2349.5,2831.5,3393,4
2320.5,2122,2154.5,2527.5,3118.5,4
1924.5,1879.5,1984.5,2137,2773.5,4
2556,2288,2285,2766,3435.5,4
2569,2308.5,2309,2752,3349,4
5.6775,2189,2221.5,2593.5,3220.5,4
6.975,2186,2132,2751,3384,4
1924,1885,1961,2157,3078,4
2224,2059,2112,2444,3131,4
9.89,1892.5,1969.5,2224.5,2882,4
15.69,2040,2082,2459.5,3046,4
1867.5,1841,1909.5,2110.5,2693,4
7.02,1828.5,1900.5,2135.5,2835,4
3067,2658,2571.5,3239.5,3882.5,4
7.6375,2259,2261,2717.5,3440.5,4
1859,1833,1914,2118,2908,4
12.435,2152.5,2152,2659,3275,4
2499.5,2128,2147.5,2749.5,3370,4
2100,1941,2037,2208,2609,4
2167,2046.5,2117,2349,2934,4
7.7275,2039,2096,2407,2773,4
1769,1795,1901,2032,2562,4
1899,1904,1935,2149,2983,4
1930,1944,1989,2214,3256,4
2573,2278,2274.5,2815,3628.5,4
9.7375,1798.5,1883,2077,2805,4
2408,2183,2131,2639,3361,4
7.1375,2403,2387,2879.5,3445.5,4
1853,1833,1901.5,2101.5,2670.5,4
1853,1833,1901.5,2101.5,2670.5,4
11.0225,1921,1985.5,2217,2889,4
1981.5,1875,1932,2189,3024,4
1770,1777,1883,1966.5,2518.5,4
2415,2160,2096,2660,3427,4
15.69,2040,2082,2459.5,3046,4
1907.5,1872,1907.5,2171,3074,4
1906.5,1853.5,1938.5,2157,2850,4
2728.5,2432.5,2393.5,2900,3624.5,4
2463,2161,2122,2671,3190,4
1698,1784.5,1873,2005,2755,4
1678,1799,1859.5,1974,3079.5,4
12.885,1837.5,1907,2083.5,3067.5,4
24.12,1917.5,1997.5,2321,2856.5,4
8.7,1894,1949,2152,2923,4
1979,1840.5,1921,2167.5,2583,4
1782.5,1749.5,1861,2013,2538,4
2606,2313.5,2306,2778.5,3356,4
9.145,2036,2022,2436,3138,4
1981.5,1875,1932,2189,3024,4
2127.5,2066.5,2050,2469.5,3289,4
10.9325,2536,2474,3080,3706.5,4
10.345,1949.5,1968,2303,3009.5,4
10.875,1921.5,1951.5,2300.5,2741.5,4
1952,1854,1921.5,2147,2671,4
11.465,2493.5,2417.5,3032.5,3973,4
9.7975,1955,2001.5,2343.5,3040.5,4
2026,1914.5,1996.5,2226,2830.5,4
2532.5,2326.5,2285,2829,3672.5,4
2109,1990,2058,2328,2905,4
11.78,1838,1905,2163.5,2889.5,4
1896,1815,1899,2036,2443,4
11.835,1931.5,1964.5,2355.5,2807,4
20.945,1873,1958.5,2183,2868,4
1785.5,1764,1865,1980,2547,4
8.65,2121,2103,2595,3343,4
15.67,1874,1900.5,2150.5,3907.5,4
35.145,1797,1876,2142.5,2596,4
10.6525,1921,1973.5,2257,2833,4
2724,2357,2312.5,2938.5,3601.5,4
24.7,2080,2054,2569.5,3285,4
13.425,2075,2072,2495,3312.5,4
1770.5,1778,1866,1993,2637.5,4
12.675,2073,2043.5,2495,3153.5,4
24.7,2080,2054,2569.5,3285,4
2816.5,2501,2456,3063.5,3876,4
18.67,1897,1911,2168,3075.5,4
26.575,2150,2138.5,2615.5,3382.5,4
2068,1990,2002,2452,3653,4
13.41,2029,2028,2388,3023.5,4
2260,2024,2060,2422,3157,4
22.905,1941.5,1995,2315,3042.5,4
14.21,2145.5,2166,2612,3191.5,4
11.9,1844.5,1897.5,2115.5,2993,4
19.28,2001.5,1978,2391.5,3341,4
13.3875,2196,2196,2688,3259.5,4
19.845,2133,2127.5,2591.5,2975,4
13.765,1909,1978.33333333333,2309,2887,4
1891.5,1848,1955.5,2077.5,2658.5,4
23.625,1917,1952,2363,3171,4
2177.5,1997.5,2054,2403,3097.5,4
1907.5,1872,1907.5,2171,3074,4
20.945,1873,1958.5,2183,2868,4
1989,1908,1975,2244,3077,4
1910,1840.5,1911,2134,2932.5,4
20.945,1873,1958.5,2183,2868,4
1822,1823,1892,2132,2937,4
20.945,1873,1958.5,2183,2868,4
26.575,2150,2138.5,2615.5,3382.5,4
1990,1940,1973,2230,3049,4
22.045,1850,1945,2139.5,2916,4
2262.5,2057.5,2112,2506.5,3115,4
32.185,2065.5,2061.5,2491,2982.5,4
2262.5,2057.5,2112,2506.5,3115,4
21.155,2380,2297,2932.5,3621.5,4
2886.5,2411,2333.5,3103,3697,4
2381,2126,2144,2505,2981,4
26.575,2150,2138.5,2615.5,3382.5,4
2832.5,2398,2330,3088.5,3714,4
2002,1796,1875.5,2176,2467,4
2664.5,2284.5,2243,2879.5,3508,4
6.975,2186,2132,2751,3384,4
2691.5,2303.5,2249,2906.5,3761.5,4
31.145,1911.5,1965,2260,2943.5,4
22.045,1850,1945,2139.5,2916,4
2052,1907,1981,2252,2892,4
2068,1990,2002,2452,3653,4
3169.5,2554,2403,3384.5,3960.5,4
23.55,1819,1890.5,2155.5,2504,4
19.335,2239,2215.5,2805,3424.5,4
2381,2126,2144,2505,2981,4
2381,2126,2144,2505,2981,4
18.665,1912,1939.5,2272.5,2766,4
2222.5,2028.5,2051,2470.5,3270,4
2503.5,2260,2260,2765.5,3520,4
2907,2482,2407.5,3146.5,3829.5,4
23.65,1974.5,2039.5,2434,3105.5,4
2902.5,2435,2363,3121.5,3698,4
1767,1817,1891,2100,3179,4
20.12,2388,2289,3176,3839,4
2025.5,1872,1922,2206,2570.5,4
2260,2024,2060,2422,3157,4
1808,1823,1935,2105,2933,4
2628,2264.5,2259.5,2858.5,3474.5,4
32.185,2044,2017.5,2532.5,3143,4
2971,2439,2331,3204,3838,4
1908,1895,1941,2264,3197,4
19.2,2091,2112,2479,3239,4
1990,1940,1973,2230,3049,4
21.885,2362,2296.5,2952,3690,4
1947,1917,1949,2297,3503,4
2002,1818,1893,2151.5,2511,4
23.63,1925,1960,2380,2982.5,4
2408.5,2166,2173.5,2663.5,3299.5,4
25.585,2580,2429,3395.5,3954,4
1910,1871,1943,2184,3072,4
1910,1832,1922.5,2157,2844,4
2756,2404,2280.5,3029,3894.5,4
19.175,1882.5,1936,2287.5,2887.5,4
25.585,1932.5,1977.5,2309.5,2934,4
19.175,1882.5,1936,2287.5,2887.5,4
2831.5,2405.5,2327,3040.5,3649.5,4
2432.5,2175.5,2197.5,2650,3270.5,4
2265,2077,2107,2488,3074,4
2057.5,1884.5,1943,2284.5,2826,4
25.45,1942.5,1979,2352.5,2907,4
22.195,1826,1890.5,2302.5,2672,4
